,area
0,115.67438563327032
1,115.66162570888469
2,117.97211720226844
3,117.95652173913044
4,117.94423440453686
5,117.35727788279773
6,117.23156899810964
7,117.20746691871456
8,115.77079395085066
9,115.76654064272212
10,115.78733459357278
11,114.45415879017013
12,114.3624763705104
13,114.36342155009451
14,113.50094517958412
15,113.5335538752363
16,113.56190926275993
17,115.00472589792061
18,115.02079395085066
19,114.89933837429112
20,117.65028355387524
21,117.64744801512288
22,117.71408317580341
23,119.52788279773156
24,119.4210775047259
25,119.4210775047259
26,118.39224952741021
27,118.42391304347827
28,118.46550094517958
29,117.36436672967864
30,117.24054820415878
31,117.29300567107751
32,115.47826086956522
33,115.49952741020795
34,115.52741020793951
35,114.86767485822307
36,114.63799621928166
37,114.63563327032136
38,116.57514177693761
39,116.55529300567107
40,116.63374291115312
41,118.96408317580341
42,118.82703213610586
43,118.83270321361059
44,119.44470699432893
45,119.45274102079395
46,119.45037807183365
47,119.00519848771266
48,118.94943289224953
49,118.9546313799622
50,116.72778827977315
51,116.69234404536861
52,116.74007561436673
53,115.00803402646503
54,115.12287334593573
55,115.03260869565217
56,115.74858223062382
57,115.71124763705104
58,115.65689981096408
59,118.47920604914934
60,118.37523629489603
61,118.37523629489603
62,120.21597353497164
63,120.20888468809073
64,120.1351606805293
65,118.97873345935727
66,118.95179584120983
67,118.94706994328922
68,117.23015122873346
69,117.26937618147448
70,117.28308128544424
71,115.97164461247637
72,115.836011342155
73,115.836011342155
74,116.031190926276
75,116.00094517958412
76,116.01654064272212
77,117.65926275992439
78,117.57797731568998
79,117.59404536862004
80,120.19187145557656
81,120.1961247637051
82,120.17202268431002
83,119.632797731569
84,119.60066162570888
85,119.60066162570888
86,118.32703213610586
87,118.296786389414
88,118.40595463137996
89,116.73724007561437
90,116.79300567107751
91,116.8109640831758
92,116.11862003780719
93,116.09546313799622
94,116.08506616257088
95,118.41587901701324
96,118.33034026465029
97,118.33034026465029
98,121.03544423440454
99,121.00897920604915
100,120.97778827977315
101,119.87618147448015
102,119.99574669187146
103,119.97778827977315
104,118.82325141776937
105,118.81852551984878
106,118.79584120982987
107,116.8218336483932
108,116.6961247637051
109,116.6961247637051
110,115.39461247637051
111,115.43572778827978
112,115.41209829867675
113,116.85633270321361
114,116.75141776937618
115,116.70982986767486
116,119.31190926275993
117,119.33223062381853
118,119.32419659735349
119,120.67911153119093
120,120.48771266540643
121,120.48771266540643
122,119.40122873345936
123,119.39555765595463
124,119.32419659735349
125,117.64319470699432
126,117.76890359168242
127,117.75661625708885
128,115.96408317580341
129,115.99102079395085
130,116.0633270321361
131,116.52835538752363
132,116.42391304347827
133,116.42391304347827
134,118.77315689981097
135,118.66020793950851
136,118.71219281663517
137,121.02457466918715
138,121.05198487712666
139,121.00567107750473
140,120.663988657845
141,120.67863894139886
142,120.7249527410208
143,119.35727788279773
144,119.4664461247637
145,119.4664461247637
146,117.06758034026466
147,117.09499054820417
148,117.04489603024575
149,116.265595463138
150,116.26748582230624
151,116.26606805293005
152,118.23015122873346
153,118.23534971644612
154,118.17013232514178
155,120.53166351606805
156,120.26181474480151
157,120.25614366729678
158,120.73062381852552
159,120.734404536862
160,120.75897920604915
161,119.54584120982987
162,119.52551984877127
163,119.53591682419659
164,116.8109640831758
165,116.87807183364839
166,116.8804347826087
167,115.6937618147448
168,115.6961247637051
169,115.6961247637051
170,117.17722117202268
171,117.23960302457466
172,117.24338374291115
173,119.92533081285444
174,119.81379962192817
175,119.83128544423441
176,120.89319470699432
177,120.86814744801512
178,120.85586011342156
179,120.1351606805293
180,120.0226843100189
181,120.0226843100189
182,117.81663516068053
183,117.83128544423441
184,117.83648393194707
185,115.67060491493383
186,115.67958412098298
187,115.60727788279773
188,115.23865784499054
189,115.22306238185256
190,115.21361058601134
191,117.48629489603024
192,117.39508506616257
193,117.39508506616257
194,119.87901701323251
195,119.88185255198488
196,119.90453686200378
197,120.94470699432893
198,120.93856332703214
199,120.89886578449905
200,120.18336483931947
201,120.19281663516068
202,120.18761814744802
203,118.4749527410208
204,118.40264650283554
205,118.40264650283554
206,116.00378071833649
207,115.968809073724
208,115.95274102079395
209,115.80954631379961
210,115.82750472589792
211,115.80812854442344
212,117.55245746691871
213,117.52315689981097
