,area
0,102.0204081632653
1,100.50530612244899
2,105.16081632653061
3,109.50775510204082
4,112.0473469387755
5,112.86530612244898
6,108.50857142857143
7,106.53387755102041
8,105.47428571428571
9,104.74775510204081
10,104.25224489795919
11,104.14367346938775
12,104.0661224489796
13,101.65306122448979
14,101.36408163265307
15,106.19183673469388
16,110.39836734693877
17,112.7934693877551
18,112.06530612244897
19,107.92
20,106.54367346938776
21,105.71918367346939
22,105.08081632653061
23,104.75020408163266
24,104.64571428571429
25,104.32979591836735
26,104.4465306122449
27,101.77142857142857
28,102.19428571428571
29,106.78938775510204
30,111.44081632653061
31,113.71102040816326
32,111.92816326530613
33,107.24
34,106.24
35,105.42122448979592
36,104.74122448979591
37,104.25551020408163
38,104.36
39,104.27591836734693
40,104.28897959183674
41,102.61714285714285
42,101.21469387755101
43,105.14122448979592
44,109.8930612244898
45,112.78367346938775
46,113.16816326530612
47,108.07102040816326
48,106.16734693877551
49,105.34530612244897
50,104.90122448979592
51,104.54857142857144
52,104.47020408163266
53,104.49224489795918
54,104.75591836734694
55,103.64571428571429
56,100.92244897959183
57,104.49142857142857
58,108.94775510204082
59,111.5534693877551
60,112.13795918367347
61,108.19836734693878
62,106.76653061224489
63,105.7804081632653
64,104.96816326530612
65,104.79265306122448
66,104.73714285714286
67,104.68897959183674
68,104.63428571428571
69,104.11428571428571
70,100.58857142857143
71,103.69224489795918
72,108.00897959183673
73,110.8334693877551
74,112.17959183673469
75,109.57795918367347
76,107.5534693877551
77,106.4
78,105.69469387755102
79,105.24163265306123
80,105.0473469387755
81,105.08408163265307
82,104.82204081632653
83,103.89387755102041
84,100.87755102040816
85,104.31510204081633
86,108.60408163265306
87,111.62857142857143
88,112.49551020408163
89,108.99836734693878
90,107.00816326530612
91,106.04816326530612
92,105.38367346938776
93,104.84163265306123
94,104.86775510204082
95,104.8334693877551
96,103.60897959183673
97,101.53061224489795
98,105.58367346938776
99,109.98530612244897
100,112.08081632653061
101,112.76081632653062
102,108.83183673469388
103,107.04326530612245
104,106.13142857142857
105,105.34857142857143
106,104.90204081632653
107,104.75673469387755
108,104.66448979591837
109,104.63836734693878
110,102.94775510204082
111,101.78857142857143
112,106.44816326530612
113,110.62367346938775
114,112.68571428571428
115,112.64734693877551
116,108.52163265306122
117,107.21142857142857
118,105.99020408163265
119,105.35510204081632
120,104.87102040816326
121,104.73877551020408
122,104.54530612244898
123,103.98612244897959
124,101.18122448979592
125,104.63673469387756
126,109.54530612244898
127,112.13795918367347
128,113.30775510204082
129,109.81632653061224
130,107.70612244897958
131,106.50122448979592
132,105.42693877551021
133,104.99265306122449
134,104.66857142857143
