,area
0,97.3056
1,96.598
2,97.256
3,97.5592
4,97.6832
5,97.8336
6,98.1784
7,100.37
8,100.3928
9,99.494
10,98.0192
11,96.4044
12,96.206
13,96.8708
14,97.43
15,97.5312
16,97.5652
17,98.0132
18,99.982
19,100.1992
20,99.4236
21,97.9944
22,96.6336
23,96.1084
24,96.6508
25,96.96
26,97.2252
27,97.2504
28,97.3428
29,99.572
30,100.1816
31,99.428
32,98.1664
33,97.2312
34,95.8368
35,96.2752
36,96.6328
37,96.9152
38,96.9256
39,97.8748
40,99.8024
41,99.9532
42,99.1268
43,97.966
44,96.6752
45,95.966
46,96.4348
47,96.7704
48,96.9112
49,97.0784
50,97.0768
51,96.976
52,98.4112
53,100.2472
54,100.1752
55,99.2388
56,98.066
57,96.422
58,96.0228
59,96.6036
60,97.024
61,97.1404
62,97.2512
63,97.3708
64,97.5828
65,97.5832
66,98.028
67,99.8012
68,100.3596
69,99.658
70,98.1668
71,97.3556
72,96.106
73,96.5264
74,96.8436
75,97.3204
76,97.304
77,97.246
78,97.3776
79,97.4292
80,97.4384
81,97.6612
82,98.952
83,100.6488
84,100.6348
85,99.2452
86,97.998
87,97.272
88,97.8088
89,98.4948
90,98.8908
91,99.1136
92,99.3548
93,99.4768
94,100.1168
95,101.3368
96,100.9288
97,98.97
98,98.8888
99,99.004
100,99.5604
101,99.6828
102,99.9196
103,100.018
104,100.0196
105,99.9092
106,99.8156
107,100.0416
108,101.5264
109,102.004
110,101.3204
111,99.078
112,99.888
113,99.9116
114,99.9508
115,100.0652
116,99.9932
117,100.0632
118,100.2892
119,100.9024
120,101.9176
121,101.8892
122,101.1572
123,100.0228
124,100.7292
125,100.7264
126,100.4296
127,100.4984
128,100.7516
129,100.8536
130,99.004
131,97.2972
132,96.8196
133,96.902
134,98.0232
135,98.9708
136,98.962
137,98.5612
138,96.792
139,96.8524
140,97.1668
141,97.332
142,97.5068
143,97.85
144,98.1836
145,98.386
146,98.6492
147,98.426
148,98.1728
149,97.9372
150,97.7596
151,97.4864
152,97.3788
153,97.3468
154,98.676
155,98.8676
156,98.6824
157,97.474
158,97.5264
159,97.9012
160,97.67
161,97.706
162,97.8416
163,97.8644
164,97.8564
165,97.6256
166,97.674
167,97.7648
168,97.5132
169,97.4708
170,97.4132
171,97.5352
172,97.6352
173,97.9432
174,98.126
175,98.1628
176,97.678
177,97.4
178,97.1376
179,96.978
180,96.9144
181,96.868
182,96.7864
183,96.624
184,98.8128
185,99.0548
186,98.78
187,97.4864
188,96.5556
189,96.77
190,97.1852
191,97.6388
192,97.988
193,98.4272
194,98.576
195,98.38
196,98.1548
197,97.5784
198,97.5852
199,97.5024
200,97.3552
201,97.1704
202,97.3208
203,97.2716
204,97.2728
205,97.1244
206,97.1284
207,97.2536
208,97.2424
209,97.258
210,97.5272
211,97.5144
212,97.5948
213,97.6132
214,97.6136
215,97.774
216,97.7432
217,97.694
218,97.7544
219,97.9348
220,97.9972
221,98.0652
222,98.7008
223,100.5028
224,100.2544
225,99.208
226,97.1016
227,96.7352
228,97.6684
229,98.0604
230,98.6236
231,98.9052
232,99.0188
233,98.9736
234,98.8888
235,98.7476
236,98.6608
237,98.6736
238,98.7452
239,98.5808
240,98.46
241,98.4468
242,98.156
243,98.0636
244,98.1892
245,98.1716
246,98.1412
247,98.1964
248,98.1336
249,97.9944
250,97.9308
251,97.8868
252,98.1016
253,98.0836
254,98.1192
255,99.0324
256,100.2992
257,99.6324
258,98.364
259,96.7272
260,96.572
261,97.5372
262,98.1844
263,98.5736
264,98.6668
265,98.596
266,100.0896
267,100.0816
268,99.3052
269,97.528
270,96.2792
271,96.4132
272,97.3776
273,97.7924
274,98.0368
275,98.7096
276,100.6108
277,99.6356
278,98.0924
279,96.4456
280,95.794
281,97.0868
282,97.8452
283,98.014
284,98.574
285,99.91
286,99.2756
287,98.1712
288,96.3512
289,95.42
290,96.612
291,97.2668
292,97.518
293,97.8776
294,99.9844
295,99.402
296,98.3388
297,96.554
298,94.9972
299,95.9268
