,area
0,114.30941358024691
1,113.56018518518519
2,112.56867283950618
3,112.20910493827161
4,111.76620370370371
5,111.9104938271605
6,114.06635802469135
7,113.48996913580247
8,112.35879629629629
9,112.41512345679013
10,112.22685185185185
11,112.35416666666667
12,114.12191358024691
13,113.60725308641975
14,112.67978395061728
15,112.37191358024691
16,112.03858024691358
17,112.47453703703704
18,113.9266975308642
19,113.28395061728395
20,112.60416666666667
21,112.27777777777777
22,112.0324074074074
23,112.00848765432099
24,114.09722222222223
25,113.3070987654321
26,112.63966049382717
27,112.39583333333333
28,112.12962962962963
29,112.00848765432099
30,113.96836419753086
31,113.67824074074075
32,112.56867283950618
33,112.2878086419753
34,112.20910493827161
35,111.95524691358025
36,113.6766975308642
37,113.84567901234568
38,112.82638888888889
39,112.49768518518519
40,112.17283950617283
41,111.99845679012346
42,113.39274691358025
43,113.76620370370371
44,112.8070987654321
45,112.4945987654321
46,112.13194444444444
47,112.0300925925926
48,113.62268518518519
49,113.47762345679013
50,112.66203703703704
51,112.18055555555556
52,111.99305555555556
53,111.75077160493827
54,113.23379629629629
55,113.40895061728395
56,112.57021604938272
57,111.93981481481481
58,111.75231481481481
59,111.55246913580247
60,111.79475308641975
61,113.72762345679013
62,113.0270061728395
63,112.15277777777777
64,111.76697530864197
65,111.70061728395062
66,111.93672839506173
67,113.39043209876543
68,112.7824074074074
69,112.12654320987654
70,111.69907407407408
71,111.29629629629629
72,111.80787037037037
73,113.25848765432099
74,112.49537037037037
75,111.92438271604938
76,111.61111111111111
77,111.09567901234568
78,110.87191358024691
79,112.70679012345678
80,112.59567901234568
81,111.80478395061728
82,111.50925925925925
83,111.3179012345679
84,111.00231481481481
85,112.39351851851852
86,113.06327160493827
87,112.31635802469135
88,111.63194444444444
89,111.43287037037037
90,110.99691358024691
91,111.26929012345678
92,113.08410493827161
93,112.62962962962963
94,111.84645061728395
95,111.59722222222223
96,111.08564814814815
97,111.15277777777777
98,112.97376543209876
99,112.74305555555556
100,111.92361111111111
101,111.4320987654321
102,111.00385802469135
103,111.54398148148148
104,113.17361111111111
105,112.87654320987654
106,112.05787037037037
107,111.82484567901234
108,111.49614197530865
109,111.43441358024691
110,113.32253086419753
111,113.62885802469135
112,112.56327160493827
113,111.85879629629629
114,111.35493827160494
115,111.46064814814815
116,113.51234567901234
117,113.55941358024691
118,112.55015432098766
119,111.9128086419753
120,111.37422839506173
121,111.2121913580247
122,113.20138888888889
123,113.74845679012346
124,112.92824074074075
125,112.31867283950618
126,111.97685185185185
127,111.49382716049382
128,112.26234567901234
129,114.17515432098766
130,113.8233024691358
131,112.97453703703704
132,112.36882716049382
133,112.16666666666667
134,112.72376543209876
135,114.53086419753086
136,114.09645061728395
137,113.4429012345679
138,113.15817901234568
139,112.7445987654321
140,112.78935185185185
141,115.03703703703704
142,114.45447530864197
143,113.69907407407408
144,113.06481481481481
145,112.78163580246914
146,112.48379629629629
147,114.37577160493827
148,114.37808641975309
149,113.51697530864197
150,112.7121913580247
151,112.31095679012346
152,112.08333333333333
153,113.25385802469135
154,114.07407407407408
155,113.125
156,112.29166666666667
157,111.72608024691358
158,111.63503086419753
159,112.55092592592592
160,113.74614197530865
161,113.10185185185185
162,112.27932098765432
163,111.74151234567901
164,111.4621913580247
165,111.87962962962963
166,113.86111111111111
167,113.51543209876543
168,112.74614197530865
169,112.1574074074074
170,111.71682098765432
171,112.03395061728395
172,113.9020061728395
173,113.49614197530865
174,112.59645061728395
175,111.99768518518519
176,111.8125
177,111.8449074074074
178,113.9375
179,113.27623456790124
180,112.66126543209876
181,112.02854938271605
182,111.6983024691358
183,111.90432098765432
184,113.77546296296296
185,113.26774691358025
186,112.37037037037037
187,111.73302469135803
188,111.44984567901234
189,111.41743827160494
190,113.52546296296296
191,113.0979938271605
192,112.4104938271605
193,111.82021604938272
194,111.39043209876543
195,111.10262345679013
196,112.26697530864197
197,113.61188271604938
198,112.4104938271605
199,111.62731481481481
200,111.13425925925925
201,110.5246913580247
202,110.43518518518519
203,111.89891975308642
204,112.77623456790124
205,111.8425925925926
206,111.16975308641975
207,110.37422839506173
208,110.0625
209,111.18981481481481
210,112.14197530864197
211,111.23379629629629
212,110.68441358024691
213,110.10416666666667
214,109.89583333333333
215,110.72453703703704
216,111.76157407407408
217,111.21373456790124
218,110.48533950617283
219,109.92361111111111
220,109.77314814814815
221,110.70833333333333
222,111.57947530864197
223,110.86882716049382
224,110.22222222222223
225,109.89506172839506
226,109.47993827160494
227,110.08564814814815
228,111.75771604938272
229,111.20524691358025
230,110.3395061728395
231,109.78395061728395
232,109.58641975308642
233,109.88425925925925
234,111.61342592592592
235,111.54166666666667
236,110.54783950617283
237,110.09876543209876
238,109.74382716049382
239,110.30941358024691
240,111.33796296296296
241,110.81018518518519
242,110.01466049382717
243,109.48996913580247
244,108.93518518518519
245,110.08873456790124
246,111.12114197530865
247,110.24845679012346
248,109.4104938271605
249,108.84027777777777
250,108.40663580246914
251,109.74537037037037
252,111.20987654320987
253,110.60802469135803
254,109.76543209876543
255,109.16975308641975
256,108.8016975308642
257,110.88425925925925
258,111.91512345679013
259,111.31635802469135
260,110.3503086419753
261,109.80864197530865
262,109.54706790123457
263,111.99691358024691
264,112.73302469135803
265,111.82638888888889
266,111.1358024691358
267,110.49228395061728
268,110.17592592592592
269,112.68132716049382
270,112.81327160493827
271,111.98302469135803
272,111.14429012345678
273,110.65277777777777
274,110.3425925925926
275,112.96296296296296
276,113.17361111111111
277,112.25771604938272
278,111.57098765432099
279,110.9621913580247
280,110.63194444444444
281,112.24151234567901
282,113.50617283950618
283,112.74845679012346
284,111.7445987654321
285,111.22608024691358
286,110.78935185185185
287,112.8858024691358
288,113.53395061728395
289,112.67438271604938
290,111.68287037037037
291,111.1003086419753
292,110.88734567901234
293,113.19367283950618
294,113.52237654320987
295,112.54629629629629
296,111.80092592592592
297,111.11111111111111
298,110.87114197530865
299,112.24691358024691
