,area
0,107.07142857142857
1,106.93877551020408
2,107.05739795918367
3,106.97066326530613
4,107.02806122448979
5,107.17091836734694
6,107.16071428571429
7,107.27551020408163
8,107.18239795918367
9,107.35076530612245
10,107.3545918367347
11,107.06632653061224
12,107.20663265306122
13,107.15561224489795
14,107.13265306122449
15,107.34948979591837
16,107.46811224489795
17,107.28698979591837
18,107.40561224489795
19,107.53061224489795
20,107.53188775510205
21,107.43877551020408
22,107.69770408163265
23,107.54081632653062
24,107.54719387755102
25,107.54719387755102
26,107.50892857142857
27,107.50510204081633
28,107.66964285714286
29,107.5688775510204
30,107.53316326530613
31,107.61224489795919
32,107.60204081632654
33,107.60969387755102
34,107.77551020408163
35,107.36734693877551
36,103.65051020408163
37,101.93239795918367
38,103.11989795918367
39,105.04081632653062
40,105.22321428571429
41,107.27806122448979
42,108.53571428571429
43,107.32270408163265
44,106.7295918367347
45,106.73214285714286
46,106.66071428571429
47,106.7015306122449
48,106.66581632653062
49,106.6670918367347
50,106.68239795918367
51,106.68367346938776
52,106.83928571428571
53,106.78826530612245
54,106.69005102040816
55,106.71556122448979
56,106.73979591836735
57,106.92857142857143
58,106.86224489795919
59,106.83035714285714
60,106.78316326530613
61,106.78954081632654
62,106.88647959183673
63,106.85969387755102
64,106.93367346938776
65,106.83418367346938
66,107.04974489795919
67,107.01275510204081
68,106.96301020408163
69,106.90943877551021
70,107.27933673469387
71,107.00382653061224
72,107.15433673469387
73,107.14413265306122
74,107.26275510204081
75,107.25765306122449
76,107.06632653061224
77,107.2984693877551
78,107.0625
79,107.32780612244898
80,107.10969387755102
81,107.14285714285714
82,107.28571428571429
83,104.99744897959184
84,101.59821428571429
85,101.44005102040816
86,103.24234693877551
87,104.30229591836735
88,105.3890306122449
89,107.59566326530613
90,107.3545918367347
91,106.31760204081633
92,105.97576530612245
93,106.18367346938776
94,106.15816326530613
95,106.49234693877551
96,106.2984693877551
97,106.51658163265306
98,106.48086734693878
99,106.21301020408163
100,106.74107142857143
101,106.57397959183673
102,106.46428571428571
103,106.4579081632653
104,106.3265306122449
105,106.3954081632653
106,106.6390306122449
107,106.72066326530613
108,106.55357142857143
109,106.94005102040816
110,106.81632653061224
111,106.90943877551021
112,106.80867346938776
113,106.7079081632653
114,106.66964285714286
115,106.61734693877551
116,106.78061224489795
117,106.78954081632654
118,106.875
119,107.0063775510204
120,107.23979591836735
121,107.04719387755102
122,106.8813775510204
123,106.9375
124,106.86607142857143
125,107.17091836734694
126,107.16198979591837
127,107.18239795918367
128,107.28571428571429
129,107.24617346938776
130,107.12372448979592
131,107.00892857142857
132,103.46556122448979
133,100.95663265306122
134,102.03571428571429
135,104.05484693877551
136,104.52551020408163
137,105.88520408163265
138,107.625
139,106.98469387755102
140,106.26147959183673
141,106.04719387755102
142,106.20918367346938
143,106.22066326530613
144,106.32780612244898
145,106.40433673469387
146,106.47576530612245
147,106.42984693877551
148,106.5484693877551
149,106.66581632653062
150,106.73086734693878
151,106.5484693877551
152,106.87117346938776
153,106.82780612244898
154,106.76275510204081
155,106.68494897959184
156,106.81632653061224
157,106.79591836734694
158,106.88647959183673
159,106.84438775510205
160,106.94897959183673
161,107.04591836734694
162,106.94515306122449
163,107.1390306122449
164,107.23469387755102
165,106.90688775510205
166,107.04081632653062
167,106.86479591836735
168,106.91071428571429
169,106.7984693877551
170,106.88265306122449
171,106.65943877551021
172,106.69770408163265
173,106.5688775510204
174,106.58545918367346
175,106.60331632653062
176,106.52933673469387
177,106.49489795918367
178,106.45535714285714
179,106.32780612244898
180,104.0829081632653
181,100.75892857142857
182,100.98979591836735
183,103.02295918367346
184,104.15433673469387
185,105.34821428571429
186,107.27678571428571
187,105.93494897959184
188,105.38520408163265
189,105.59693877551021
190,105.45280612244898
191,105.63647959183673
192,105.94770408163265
193,105.84311224489795
194,106.03061224489795
195,106.0625
196,106.16454081632654
197,106.08801020408163
198,106.08928571428571
199,106.0561224489796
200,106.1313775510204
201,106.2359693877551
202,106.23086734693878
203,106.25127551020408
204,106.26147959183673
205,106.34056122448979
206,106.2436224489796
207,106.1045918367347
208,106.10076530612245
209,106.09948979591837
210,105.86479591836735
211,105.99872448979592
212,105.8609693877551
213,106.09821428571429
214,106.14285714285714
215,105.89158163265306
216,106.31632653061224
217,106.43877551020408
218,106.47321428571429
219,106.27933673469387
220,104.2920918367347
221,100.8125
222,100.61989795918367
223,102.73852040816327
224,104.08418367346938
225,105.35076530612245
226,107.28316326530613
227,106.26530612244898
228,105.35076530612245
229,105.5
230,105.6186224489796
231,105.78316326530613
232,105.9311224489796
233,106.0765306122449
234,106.12372448979592
235,106.25892857142857
236,106.31377551020408
237,106.32780612244898
238,106.55484693877551
239,106.2079081632653
240,106.40816326530613
241,106.50892857142857
242,106.47448979591837
243,106.77423469387755
244,106.53826530612245
245,106.7920918367347
246,106.76913265306122
247,106.7563775510204
248,106.64413265306122
249,106.65051020408163
250,106.56122448979592
251,106.38647959183673
252,106.33035714285714
253,106.26147959183673
254,106.39413265306122
255,106.36734693877551
256,106.56505102040816
257,106.3890306122449
258,106.47704081632654
259,106.52551020408163
260,106.54719387755102
261,106.48341836734694
262,106.55357142857143
263,106.73341836734694
264,105.12244897959184
265,101.19132653061224
266,100.50127551020408
267,102.18622448979592
268,103.75765306122449
269,104.89668367346938
270,107.09438775510205
271,106.16454081632654
272,105.1938775510204
273,105.24744897959184
274,105.42729591836735
275,105.64668367346938
276,105.72321428571429
277,105.94005102040816
278,106.16836734693878
279,106.1875
280,106.02806122448979
281,106.08035714285714
282,106.07142857142857
283,106.14795918367346
284,106.42474489795919
285,106.41836734693878
286,106.52423469387755
287,106.30994897959184
288,106.60714285714286
289,106.61607142857143
290,106.77168367346938
291,106.80229591836735
292,106.77295918367346
293,107.12372448979592
294,107.15178571428571
295,107.22321428571429
296,107.0688775510204
297,107.27423469387755
298,107.35204081632654
299,107.8265306122449
