,area
0,66.5168
1,65.0464
2,63.7856
3,63.3312
4,62.8896
5,62.7776
6,62.7568
7,62.7552
8,62.6496
9,62.5888
10,62.5856
11,64.2192
12,65.6192
13,66.3296
14,66.5136
15,66.52
16,65.0608
17,63.9008
18,63.5472
19,63.264
20,63.0928
21,62.9088
22,62.616
23,62.7312
24,62.6288
25,63.7584
26,65.056
27,66.4
28,66.6272
29,66.7472
30,65.608
31,64.4944
32,63.5488
33,63.104
34,63.1584
35,62.776
36,62.736
37,62.7776
38,62.7472
39,64.0624
40,65.4496
41,66.4272
42,66.5072
43,66.312
44,65.2
45,64.2032
46,63.48
47,63.1728
48,63.0144
49,62.976
50,62.8512
51,62.7216
52,62.7744
53,63.6112
54,64.8656
55,65.936
56,66.3712
57,66.5168
58,65.8192
59,64.6304
60,63.8368
61,63.0976
62,62.9504
63,62.8528
64,62.8064
65,62.6992
66,62.6112
67,63.3776
68,64.9776
69,66.2128
70,66.6304
71,66.8144
72,66.1744
73,64.6864
74,63.6704
75,63.4096
76,63.168
77,62.7664
78,62.6576
79,62.52
80,62.6528
81,62.5136
82,63.7664
83,65.3728
84,66.2832
85,66.7568
86,66.6496
87,65.7488
88,64.56
89,63.7504
90,63.2512
91,63.1312
92,62.9616
93,62.8704
94,62.8016
95,62.6048
96,62.4816
97,63.824
98,65.1408
99,66.1808
100,66.5504
101,66.7056
102,65.7872
103,64.5216
104,63.6032
105,63.296
106,63.0144
107,62.8
108,62.768
109,62.6832
110,64.12
111,65.5344
112,66.6752
113,66.88
114,66.6144
115,65.616
116,64.5296
117,63.5648
118,63.104
119,63.2496
120,63.0848
121,62.9328
122,62.7632
123,62.64
124,63.1312
125,64.96
126,66.464
127,66.896
128,67.224
129,66.904
130,65.72
131,64.2848
132,63.632
133,63.3664
134,63.0688
135,62.9648
136,62.9296
137,62.8096
138,62.7776
139,63.4288
140,65.144
141,66.4896
142,67.0656
143,67.16
144,66.6736
145,65.408
146,64.0736
147,63.5712
148,63.4432
149,63.2112
150,62.9264
151,63.0
152,62.9168
153,62.816
154,63.7872
155,65.4944
156,66.816
157,67.2384
158,67.4976
159,66.8304
160,65.5872
161,64.1152
162,63.7024
163,63.2432
164,63.208
165,63.136
166,63.0784
167,63.0672
168,62.9104
169,64.4016
170,65.8912
171,66.8736
172,67.1728
173,67.4496
174,66.5552
175,65.3184
176,64.1552
177,63.6352
178,63.376
179,63.216
180,63.2432
181,62.9936
182,63.264
183,63.096
184,63.7008
185,65.2368
186,66.8592
187,67.3152
188,67.5488
189,67.032
190,65.7216
191,64.4928
192,63.6384
193,63.3344
194,63.4176
195,63.352
196,63.112
197,63.1696
198,63.3216
199,65.0416
200,66.5904
201,67.5392
202,67.5248
203,67.4448
204,66.2832
205,64.8496
206,64.032
207,63.696
208,63.32
209,63.152
210,63.0832
211,62.9728
212,63.0512
213,64.4496
214,66.0032
215,67.2192
216,67.5408
217,67.5184
218,66.7296
219,65.072
220,64.128
221,63.8032
222,63.4208
223,63.2544
224,62.9952
225,63.0304
226,63.072
227,62.9872
228,64.2816
229,65.9328
230,67.0096
231,67.4048
232,67.3568
233,66.28
234,64.9616
235,63.9056
236,63.4368
237,63.224
238,63.1424
239,63.1776
240,62.872
241,62.8512
242,63.7408
243,65.056
244,66.7088
245,67.3296
246,67.3856
247,67.0288
248,65.456
249,64.1472
250,63.7168
251,63.3808
252,63.1168
253,62.9632
254,63.0096
255,62.9408
256,63.032
257,63.9984
258,65.944
259,66.9184
260,67.536
261,67.624
262,66.3984
263,65.1808
264,63.9744
265,63.3856
266,63.1984
267,63.2672
268,62.896
269,63.1072
270,63.1072
271,63.6592
272,65.0496
273,66.8048
274,67.6592
275,67.408
276,67.2192
277,65.6768
278,64.3392
279,63.664
280,63.4192
281,63.0848
282,63.0224
283,63.0336
284,63.232
285,63.0864
286,63.2896
287,64.4384
288,66.2768
289,67.4128
290,67.664
291,67.6048
292,66.3696
293,65.0608
294,64.04
295,63.7712
296,63.5872
297,63.3248
298,63.3376
299,63.1792
