,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,0,0.0,3,0.0
1,7,1873.5,10,1461.5
2,14,1835.0,18,1434.0
3,22,1841.0,26,1357.5
4,30,1779.0,33,1466.0
5,36,1675.5,40,1381.0
6,44,1674.0,47,1348.5
7,51,0.0,54,0.0
8,57,0.0,61,0.0
9,65,0.0,68,0.0
10,72,0.0,75,0.0
11,80,0.0,83,0.0
12,87,0.0,90,0.0
13,95,0.0,98,0.0
14,102,0.0,105,0.0
15,109,0.0,112,0.0
16,116,0.0,119,0.0
17,124,0.0,127,0.0
18,131,0.0,134,0.0
19,139,0.0,142,0.0
20,146,0.0,149,0.0
21,153,0.0,157,0.0
22,161,0.0,164,0.0
23,169,0.0,172,0.0
24,176,0.0,179,0.0
25,183,0.0,186,0.0
26,190,0.0,194,0.0
27,198,0.0,201,0.0
28,206,0.0,209,0.0
29,213,0.0,216,0.0
30,221,0.0,224,0.0
31,228,0.0,232,0.0
32,235,0.0,238,0.0
33,242,0.0,246,0.0
34,250,0.0,253,0.0
35,258,0.0,261,0.0
36,265,0.0,269,0.0
37,273,0.0,276,0.0
38,280,0.0,284,0.0
39,288,0.0,292,0.0
40,296,0.0,299,0.0
