,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,0,0,2,0
1,5,0,8,0
2,11,0,13,0
3,16,0,19,0
4,23,0,26,0
5,29,0,32,0
6,35,0,38,0
7,41,0,44,0
8,47,0,49,0
9,53,0,56,0
10,59,0,62,0
11,66,0,69,0
12,72,0,74,0
13,78,0,81,0
14,84,0,87,0
15,91,0,94,0
16,97,0,100,0
17,103,0,106,0
18,109,0,112,0
19,115,0,117,0
20,121,0,124,0
21,127,0,130,0
22,133,0,136,0
23,140,0,143,0
24,146,0,149,0
25,152,0,155,0
26,158,0,161,0
27,165,0,168,0
28,171,0,174,0
29,177,0,180,0
30,183,0,185,0
31,189,0,192,0
32,195,0,198,0
33,202,0,205,0
34,208,0,211,0
35,214,0,217,0
36,220,0,224,0
37,227,0,231,0
38,233,0,236,0
39,238,0,241,0
40,244,0,247,0
41,250,0,252,0
42,256,0,259,0
43,262,0,265,0
44,268,0,271,0
45,274,0,277,0
46,280,0,283,0
47,286,0,289,0
48,292,0,295,0
49,298,0,301,0
