,end_diastole_frame,end_systole_frame
0,4,5
1,10,11
2,16,17
3,22,23
4,27,28
5,33,34
6,39,40
7,45,46
8,51,52
9,57,58
10,63,64
11,69,70
12,75,76
13,81,82
14,87,88
15,93,94
16,100,101
17,106,107
18,113,114
19,119,120
20,125,126
21,131,132
22,138,139
23,144,145
24,151,152
25,157,158
26,164,165
27,171,172
28,177,178
29,184,185
30,190,191
31,197,198
32,202,203
33,209,210
34,216,217
35,223,224
36,229,230
37,236,237
38,243,244
39,250,251
40,257,258
41,263,264
42,270,271
43,277,278
44,283,284
45,290,291
46,296,297
