,end_diastole_frame,end_systole_frame
0,7,8
1,14,15
2,19,20
3,24,25
4,29,30
5,34,35
6,39,40
7,45,46
8,49,50
9,56,57
10,61,62
11,67,68
12,72,73
13,77,78
14,83,84
15,89,90
16,94,95
17,100,101
18,105,106
19,110,111
20,116,117
21,121,122
22,127,128
23,133,134
24,139,140
25,144,145
26,149,150
27,154,155
28,160,161
29,165,166
30,171,172
31,176,177
32,182,183
33,187,188
34,193,194
35,198,199
36,204,205
37,209,210
38,215,216
39,220,221
40,225,226
41,231,232
42,237,238
43,243,244
44,249,250
45,254,255
46,260,261
47,266,267
48,271,272
49,277,278
50,282,283
51,288,289
52,294,295
53,299,300
