,mpv
0,1.0573173333333334
1,1.050424888888889
2,1.0496515555555554
3,1.0482222222222222
4,1.0456
5,1.0436195555555556
6,1.0422293333333332
7,1.0456924444444444
8,1.056736
9,1.0593742222222222
10,1.0566275555555555
11,1.059991111111111
12,1.0515235555555555
13,1.0454755555555555
14,1.04184
15,1.0388995555555556
16,1.0377795555555556
17,1.0367733333333333
18,1.0393706666666667
19,1.052855111111111
20,1.0563573333333334
21,1.056568888888889
22,1.0528924444444445
23,1.0495395555555556
24,1.042872888888889
25,1.0404515555555556
26,1.0387591111111112
27,1.0376995555555555
28,1.0380906666666667
29,1.0369813333333333
30,1.0408462222222221
31,1.050232888888889
32,1.0563235555555555
33,1.0518773333333333
34,1.0496568888888889
35,1.0463253333333333
36,1.0439022222222223
37,1.044664888888889
38,1.0452053333333333
39,1.0450382222222223
40,1.0448924444444445
41,1.0452462222222223
42,1.0500568888888888
43,1.0566968888888888
44,1.0587822222222223
45,1.0498542222222222
46,1.051303111111111
47,1.0467964444444444
48,1.048183111111111
49,1.0482222222222222
50,1.0471893333333333
51,1.0456604444444444
52,1.0450773333333334
53,1.0492817777777779
54,1.0587253333333333
55,1.0599964444444445
56,1.0544302222222222
57,1.0567306666666667
58,1.054176
59,1.051895111111111
60,1.0507502222222223
61,1.0489546666666667
62,1.04776
63,1.046391111111111
64,1.048544
65,1.0595804444444445
66,1.0622346666666667
67,1.0619413333333334
68,1.054199111111111
69,1.0542293333333332
70,1.0507022222222222
71,1.050599111111111
72,1.0506275555555555
73,1.0498471111111112
74,1.0479644444444445
75,1.0468213333333334
76,1.055264
77,1.0617475555555556
78,1.0643662222222223
79,1.0533528888888888
80,1.0526915555555556
81,1.0475733333333332
82,1.0478293333333333
83,1.0468
84,1.0458684444444444
85,1.0445404444444444
86,1.0423253333333333
87,1.0419644444444445
88,1.053287111111111
89,1.062168888888889
90,1.0653226666666666
91,1.0525333333333333
92,1.0513848888888888
93,1.0447164444444443
94,1.0458755555555554
95,1.0443733333333334
96,1.04408
97,1.043559111111111
98,1.0431448888888888
99,1.0417937777777777
100,1.0512088888888889
101,1.0609386666666667
102,1.0660675555555557
103,1.0584586666666667
104,1.0558986666666668
105,1.0482666666666667
106,1.0464266666666666
107,1.044992
108,1.0442044444444445
109,1.042032
110,1.0404426666666666
111,1.0421902222222221
112,1.0572817777777779
113,1.063032888888889
114,1.062584888888889
115,1.0543875555555555
116,1.0521582222222223
117,1.046839111111111
118,1.0453777777777777
119,1.0448266666666666
120,1.043912888888889
121,1.0424817777777777
122,1.040855111111111
123,1.0405333333333333
124,1.0505315555555557
125,1.0602097777777777
126,1.0635946666666667
127,1.0516426666666667
128,1.0522204444444445
129,1.0472177777777778
130,1.0448195555555555
131,1.0420728888888888
132,1.0418577777777778
133,1.0411608888888888
134,1.0396124444444443
135,1.0410773333333334
136,1.051912888888889
137,1.0594737777777778
138,1.059272888888889
139,1.0499057777777778
140,1.0512942222222221
141,1.0478631111111112
142,1.047544888888889
143,1.046752
144,1.0451484444444445
145,1.0437422222222221
146,1.042215111111111
147,1.0494186666666667
148,1.0609937777777778
149,1.063319111111111
150,1.057248
151,1.0549973333333333
152,1.046151111111111
153,1.0456995555555555
154,1.0446346666666666
155,1.042840888888889
156,1.0425386666666667
157,1.0426453333333334
158,1.0540497777777778
159,1.0615537777777777
160,1.0597226666666666
161,1.049911111111111
162,1.0454293333333333
163,1.0440426666666667
164,1.0463182222222223
165,1.046768
166,1.0465884444444444
167,1.0454044444444444
168,1.0452462222222223
169,1.0495466666666666
170,1.0585457777777778
171,1.0623626666666666
172,1.055480888888889
173,1.048391111111111
174,1.040407111111111
175,1.0429688888888888
176,1.0441208888888889
177,1.044664888888889
178,1.044136888888889
179,1.042663111111111
180,1.0423448888888889
181,1.0511573333333333
182,1.060200888888889
183,1.0603128888888889
184,1.0496302222222222
185,1.0483946666666666
186,1.0431253333333332
187,1.0445422222222223
188,1.0462346666666666
189,1.0454897777777779
