,mpv
0,3.366013888888889
1,3.3872833333333334
2,3.3972083333333334
3,3.3921916666666667
4,3.374588888888889
5,3.3700666666666668
6,3.3438833333333333
7,3.3572333333333333
8,3.350575
9,3.364425
10,3.386775
11,3.39685
12,3.3892194444444446
13,3.370022222222222
14,3.3715972222222224
15,3.335558333333333
16,3.3445583333333335
17,3.3457
18,3.359758333333333
19,3.3792805555555554
20,3.3932861111111112
21,3.3839055555555557
22,3.363366666666667
23,3.3633444444444445
24,3.3307611111111113
25,3.334547222222222
26,3.3363194444444444
27,3.353111111111111
28,3.3768194444444446
29,3.3878305555555555
30,3.366816666666667
31,3.3498694444444443
32,3.3422805555555555
33,3.318861111111111
34,3.3211916666666665
35,3.3327027777777776
36,3.3508138888888888
37,3.3699944444444445
38,3.370461111111111
39,3.3511888888888888
40,3.3408583333333333
41,3.326077777777778
42,3.307713888888889
43,3.314522222222222
44,3.328402777777778
45,3.3466555555555555
46,3.3669166666666666
47,3.361283333333333
48,3.3434333333333335
49,3.3370027777777778
50,3.3114805555555558
51,3.297875
52,3.3054305555555556
53,3.3185444444444445
54,3.3369472222222223
55,3.358052777777778
56,3.3428222222222224
57,3.327325
58,3.3245388888888887
59,3.2898
60,3.2901194444444446
61,3.2969916666666665
62,3.3060694444444443
63,3.323438888888889
64,3.3439083333333333
65,3.3273555555555556
66,3.3138972222222223
67,3.3165194444444444
68,3.2786305555555555
69,3.2854638888888887
70,3.292491666666667
71,3.296597222222222
72,3.3227166666666665
73,3.3372611111111112
74,3.314677777777778
75,3.299027777777778
76,3.2977916666666665
77,3.267961111111111
78,3.2744444444444443
79,3.2850444444444444
80,3.2900805555555555
81,3.317063888888889
82,3.3209833333333334
83,3.3045055555555556
84,3.287122222222222
85,3.2843555555555555
86,3.2583583333333332
87,3.2634416666666666
88,3.272072222222222
89,3.2857805555555557
90,3.311166666666667
91,3.3102444444444443
92,3.294427777777778
93,3.2814444444444444
94,3.268463888888889
95,3.2561694444444442
96,3.258388888888889
97,3.264797222222222
98,3.2846
99,3.302791666666667
100,3.2982694444444443
101,3.281658333333333
102,3.277711111111111
103,3.252963888888889
104,3.2499972222222224
105,3.245513888888889
106,3.2530972222222223
107,3.2767805555555554
108,3.2958166666666666
109,3.2831083333333333
110,3.270958333333333
111,3.2683944444444446
112,3.243611111111111
113,3.2485555555555554
114,3.2394444444444446
115,3.2492055555555557
116,3.276763888888889
117,3.288222222222222
118,3.276361111111111
119,3.2660583333333335
120,3.2646555555555556
121,3.2401694444444447
122,3.244841666666667
123,3.2427166666666665
124,3.2561194444444443
125,3.2780305555555556
126,3.285563888888889
127,3.272466666666667
128,3.266036111111111
129,3.2616916666666667
130,3.2361805555555554
131,3.242211111111111
132,3.2424055555555555
133,3.257277777777778
134,3.276702777777778
135,3.2820472222222223
136,3.2700027777777776
137,3.2617333333333334
138,3.257888888888889
139,3.242827777777778
140,3.241791666666667
141,3.2469444444444444
142,3.2626055555555555
143,3.2824
144,3.2817527777777777
145,3.268127777777778
146,3.2712055555555555
147,3.2559944444444446
148,3.245588888888889
149,3.243625
150,3.2561055555555556
151,3.2693083333333335
152,3.2859444444444446
153,3.2832555555555554
154,3.272586111111111
155,3.273286111111111
156,3.259297222222222
157,3.2491666666666665
158,3.2447777777777778
159,3.2597722222222223
160,3.2781527777777777
161,3.287697222222222
162,3.2808277777777777
163,3.2727666666666666
164,3.2720555555555557
165,3.2550305555555554
166,3.2416305555555556
167,3.2417333333333334
168,3.2590444444444446
169,3.274486111111111
170,3.2902833333333334
171,3.286452777777778
172,3.275888888888889
173,3.270575
174,3.2520416666666665
175,3.2442972222222224
176,3.2500416666666667
177,3.2651833333333333
178,3.2798583333333333
179,3.292377777777778
180,3.287838888888889
181,3.282688888888889
182,3.28155
183,3.262938888888889
184,3.2496638888888887
185,3.2536277777777776
186,3.2638555555555557
187,3.282947222222222
188,3.2975666666666665
189,3.2907694444444444
190,3.2836333333333334
