,area
0,139.81
1,140.6211111111111
2,139.04
3,137.98666666666668
4,136.21
5,135.60888888888888
6,135.7188888888889
7,137.57666666666665
8,139.86222222222221
9,140.6988888888889
10,139.78333333333333
11,138.27555555555554
12,136.55333333333334
13,135.9311111111111
14,136.3322222222222
15,136.5511111111111
16,139.79777777777778
17,140.71
18,140.36444444444444
19,139.51222222222222
20,136.94666666666666
21,135.67888888888888
22,136.0588888888889
23,136.59
24,139.3011111111111
25,140.90333333333334
26,141.04
27,140.36333333333334
28,138.29444444444445
29,136.7288888888889
30,136.57222222222222
31,136.47333333333333
32,138.66222222222223
33,140.94
34,141.32444444444445
35,140.43444444444444
36,138.99777777777777
37,137.43333333333334
38,136.3711111111111
39,136.74666666666667
40,137.88555555555556
41,140.24666666666667
42,141.75333333333333
43,141.04
44,140.1888888888889
45,138.72666666666666
46,138.26444444444445
47,138.10777777777778
48,139.45666666666668
49,142.36555555555555
50,143.55444444444444
51,143.51666666666668
52,142.61111111111111
53,140.59444444444443
54,139.11888888888888
55,139.35888888888888
56,139.31222222222223
57,141.15666666666667
58,143.63777777777779
59,143.59333333333333
60,142.13111111111112
61,140.85
62,138.95888888888888
63,139.4788888888889
64,139.96
65,141.63666666666666
66,144.44555555555556
67,145.7111111111111
68,144.7411111111111
69,143.4622222222222
70,141.19666666666666
71,140.2111111111111
72,140.5822222222222
73,141.07111111111112
74,143.66333333333333
75,144.84777777777776
76,144.70333333333335
77,142.91555555555556
78,140.1911111111111
79,138.83333333333334
80,138.76444444444445
81,139.85777777777778
82,143.01888888888888
83,144.65222222222224
84,144.27777777777777
85,143.64888888888888
86,141.70222222222222
87,139.42
88,139.15
89,139.71444444444444
90,141.07111111111112
91,143.64222222222222
92,143.79666666666665
93,143.13555555555556
94,141.35888888888888
95,139.55666666666667
96,138.3711111111111
97,138.50444444444443
98,139.95444444444445
99,142.43777777777777
100,143.48444444444445
101,143.14333333333335
102,141.1677777777778
103,139.1811111111111
104,138.00555555555556
105,137.5377777777778
106,138.29
107,141.11222222222221
108,142.89
109,142.70555555555555
110,141.79888888888888
111,139.54222222222222
112,137.9011111111111
113,136.7811111111111
114,136.99
115,139.07888888888888
116,140.59666666666666
117,141.22
118,141.44
119,139.2811111111111
120,136.9177777777778
121,136.10888888888888
122,135.49777777777777
123,136.7711111111111
124,139.61
125,140.67444444444445
126,140.84222222222223
127,139.23
128,136.74555555555557
129,135.82
130,135.29222222222222
131,135.77444444444444
132,138.7588888888889
133,140.0822222222222
134,141.0388888888889
135,140.3177777777778
136,137.31333333333333
137,136.2711111111111
138,135.7277777777778
139,136.01111111111112
140,138.21777777777777
141,140.94444444444446
142,142.2111111111111
143,140.92111111111112
144,138.58777777777777
145,136.57111111111112
146,136.24666666666667
147,135.65
148,136.77555555555554
149,139.86888888888888
150,141.0911111111111
151,140.98666666666668
152,139.0288888888889
153,136.6511111111111
154,135.96
155,135.37222222222223
156,136.0
157,139.11444444444444
158,140.93666666666667
159,141.26888888888888
160,140.06222222222223
161,137.69555555555556
162,136.30666666666667
163,135.54666666666665
164,135.45444444444445
165,137.8411111111111
166,140.22333333333333
167,141.20666666666668
168,140.0288888888889
169,138.1211111111111
170,135.91666666666666
171,134.97222222222223
172,134.94333333333333
173,135.7788888888889
174,138.81222222222223
175,139.43444444444444
176,138.96333333333334
177,137.41
178,134.71666666666667
179,132.93666666666667
180,133.09666666666666
181,133.74666666666667
182,136.78
183,138.21333333333334
184,137.84333333333333
185,136.7411111111111
186,133.88
187,132.14333333333335
188,131.70888888888888
189,132.6588888888889
190,135.00555555555556
191,137.10222222222222
192,137.41222222222223
193,136.26888888888888
194,134.0522222222222
195,131.98444444444445
196,131.4688888888889
197,132.12777777777777
198,133.4777777777778
199,136.10555555555555
200,137.0377777777778
201,136.23555555555555
202,134.24777777777777
203,132.1611111111111
204,131.53333333333333
205,131.4322222222222
206,132.75333333333333
207,135.1988888888889
208,136.7122222222222
209,136.61555555555555
210,135.1
211,132.82666666666665
212,131.92555555555555
213,132.08777777777777
214,132.93666666666667
215,135.07555555555555
216,137.13
217,137.2
218,135.7122222222222
219,133.67444444444445
220,132.41
221,132.42555555555555
222,132.76333333333332
223,134.45222222222222
224,136.98111111111112
225,137.90555555555557
226,137.5377777777778
227,135.89333333333335
228,133.9388888888889
229,134.57
230,134.75
231,135.34
232,138.20111111111112
233,139.32333333333332
234,139.76666666666668
235,139.04777777777778
236,136.79444444444445
237,136.6688888888889
238,137.75555555555556
239,137.86666666666667
240,140.34222222222223
241,140.9988888888889
242,140.8111111111111
243,139.72666666666666
244,137.36222222222221
245,136.63444444444445
246,136.66333333333333
247,136.9988888888889
248,140.05666666666667
249,140.94666666666666
250,140.65777777777777
251,140.2122222222222
252,137.94444444444446
253,136.8788888888889
254,137.17666666666668
255,137.48888888888888
256,140.0822222222222
257,141.8711111111111
258,142.5
259,141.93333333333334
260,139.64777777777778
261,138.23666666666668
262,138.42444444444445
263,138.11333333333334
264,139.5077777777778
265,142.2211111111111
266,142.66444444444446
267,141.58
268,139.39555555555555
269,137.68666666666667
270,137.45888888888888
271,137.07
272,137.76444444444445
273,140.46666666666667
274,141.1988888888889
275,140.3711111111111
276,138.0522222222222
277,136.16222222222223
278,136.55
279,135.94444444444446
280,137.09
281,139.9388888888889
282,140.7122222222222
283,140.84222222222223
284,138.73555555555555
285,136.64666666666668
286,136.68444444444444
287,136.18555555555557
