,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,9,0,13,0
1,18,0,22,0
2,27,0,32,0
3,37,0,41,0
4,46,0,50,0
5,55,0,59,0
6,64,0,68,0
7,73,0,78,0
8,82,0,87,0
9,91,0,96,0
10,100,0,105,0
11,109,0,114,0
12,119,0,123,0
13,128,0,133,0
14,137,0,141,0
15,146,0,150,0
16,155,0,159,0
17,164,0,169,0
18,173,0,177,0
19,182,0,187,0
20,192,0,196,0
21,201,0,205,0
22,210,0,214,0
23,220,0,224,0
24,229,0,233,0
25,238,0,242,0
26,248,0,253,0
27,257,0,262,0
28,267,0,271,0
29,276,0,281,0
30,286,0,290,0
31,295,0,299,0
32,304,0,308,0
