,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,7,0,12,0
1,14,0,20,0
2,22,0,28,0
3,31,0,36,0
4,38,0,44,0
5,46,0,52,0
6,54,0,60,0
7,63,0,68,0
8,70,0,76,0
9,78,0,84,0
10,86,0,92,0
11,94,0,100,0
12,102,0,108,0
13,110,0,116,0
14,118,0,124,0
15,127,0,132,0
16,134,0,140,0
17,142,0,148,0
18,150,0,156,0
19,158,0,164,0
20,168,0,172,0
21,174,0,180,0
22,182,0,187,0
23,190,0,195,0
24,199,0,203,0
25,206,0,211,0
26,213,0,219,0
27,221,0,227,0
28,230,0,235,0
29,237,0,242,0
30,245,0,250,0
31,253,0,258,0
32,261,0,266,0
33,268,0,274,0
34,276,0,282,0
35,284,0,290,0
36,293,0,298,0
37,300,0,305,0
