,area
0,76.705625
1,76.2009375
2,76.6265625
3,77.85140625
4,79.048125
5,79.023125
6,78.29125
7,77.7484375
8,76.73703125
9,75.1665625
10,75.8534375
11,77.0103125
12,76.766875
13,76.41859375
14,77.389375
15,78.62546875
16,79.1559375
17,78.744375
18,78.16046875
19,77.4509375
20,76.270625
21,75.36703125
22,76.846875
23,76.99390625
24,76.4053125
25,76.84671875
26,77.890625
27,79.1875
28,78.796875
29,78.06703125
30,77.64890625
31,76.64484375
32,75.36171875
33,76.20046875
34,77.24203125
35,76.648125
36,76.51125
37,77.51078125
38,78.76953125
39,78.8615625
40,78.15453125
41,77.6853125
42,77.17234375
43,76.00796875
44,75.9684375
45,77.16328125
46,76.904375
47,76.5209375
48,77.22765625
49,78.58921875
50,78.995625
51,78.48921875
52,77.95890625
53,77.59703125
54,76.6959375
55,75.87359375
56,77.058125
57,77.1553125
58,76.51609375
59,77.03421875
60,78.24515625
61,79.03828125
62,78.61734375
63,78.11015625
64,77.660625
65,77.1628125
66,75.87625
67,76.80046875
68,77.486875
69,76.78546875
70,76.853125
71,77.804375
72,78.87765625
73,78.9690625
74,78.40265625
75,77.91078125
76,77.60765625
77,76.52375
78,76.6409375
79,77.62609375
80,77.08578125
81,76.98828125
82,77.78296875
83,78.925
84,79.2721875
85,78.61390625
86,78.141875
87,77.72828125
88,77.1721875
89,76.65765625
90,77.62265625
91,77.4553125
92,76.94546875
93,77.53390625
94,78.68921875
95,79.353125
96,78.915
97,78.35671875
98,77.88765625
99,77.2821875
100,76.07375
101,77.1090625
102,77.39640625
103,76.78171875
104,77.08828125
105,78.3065625
106,79.09625
107,78.94984375
108,78.35078125
109,77.920625
110,77.5028125
111,76.38140625
112,77.1553125
113,77.81015625
114,76.8784375
115,76.95125
116,77.81546875
117,78.8340625
118,79.06109375
119,78.41109375
120,77.9040625
121,77.50296875
122,76.11859375
123,76.2915625
124,77.384375
125,76.81421875
126,76.56796875
127,77.4603125
128,78.5946875
129,79.15203125
130,78.4621875
131,77.846875
132,77.61125
133,76.598125
134,76.24328125
135,77.30453125
136,77.07015625
137,76.5478125
138,77.269375
139,78.4184375
140,79.0728125
141,78.6021875
142,78.04421875
143,77.6065625
144,76.91984375
145,76.365
146,77.054375
147,77.39484375
148,76.7775
149,77.39359375
150,78.4696875
151,79.035625
152,78.9728125
153,78.30234375
154,77.79859375
155,77.30328125
156,76.613125
157,77.1634375
158,77.6509375
159,76.8896875
160,77.42015625
161,78.52421875
162,79.03671875
163,79.12765625
164,78.37078125
165,77.86671875
166,77.2946875
167,76.591875
168,77.218125
169,77.7065625
170,77.16453125
171,77.3265625
172,78.5025
173,79.0525
174,79.3425
175,78.63953125
176,78.0478125
177,77.45046875
178,76.5625
179,76.92796875
180,77.63609375
181,77.35453125
182,77.04328125
183,78.26375
184,79.03375
185,79.1625
186,78.520625
187,77.81765625
188,77.2503125
189,76.32203125
190,76.67640625
191,77.5071875
192,77.27484375
193,76.86375
194,77.78046875
195,78.72015625
196,78.96828125
197,78.383125
198,77.67703125
199,77.16796875
200,76.208125
201,76.21359375
202,77.101875
203,77.16234375
204,76.528125
205,77.36078125
206,78.591875
207,78.79640625
208,78.57984375
209,77.81046875
210,77.423125
211,76.51109375
212,76.0534375
213,76.9521875
214,77.19234375
215,76.780625
216,77.10953125
217,78.3340625
218,78.81796875
219,78.75734375
220,78.0640625
221,77.51265625
222,76.86375
223,75.98640625
224,76.5796875
225,77.19234375
226,76.90578125
227,76.77265625
228,77.9040625
229,78.8465625
230,79.068125
231,78.54296875
232,77.89375
233,77.324375
234,76.2840625
235,76.28796875
236,77.28578125
237,77.31390625
238,76.91390625
239,77.6403125
240,78.8478125
241,79.426875
242,79.0196875
243,78.3725
244,77.8965625
245,76.95578125
246,76.14546875
247,77.020625
248,77.51609375
249,76.86453125
250,77.17609375
251,78.209375
252,79.1965625
253,79.27578125
254,78.66734375
255,78.091875
256,77.51453125
257,76.3596875
258,76.6571875
259,77.53625
260,77.09359375
261,76.785
262,77.5896875
263,78.6740625
264,79.40625
265,78.89
266,78.17984375
267,77.63046875
268,76.88625
269,75.9859375
270,76.94703125
271,77.47296875
272,76.82359375
273,77.0903125
274,78.17203125
275,79.185625
276,79.29109375
277,78.6546875
278,78.01421875
279,77.4971875
280,76.62609375
281,76.68875
282,77.5134375
283,77.1815625
284,76.80671875
285,77.6975
286,78.8978125
287,79.384375
288,79.0184375
289,78.32359375
290,77.8396875
291,77.0759375
292,76.46578125
293,77.12578125
294,77.43984375
295,76.84890625
296,77.10046875
297,78.13875
298,79.0609375
299,79.11875
